番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,ボイスID,セリフ,メモ
1,1,1,5,   クロト,1,04_01,終わったー,
2,1,1,5,シースティ,2,04_02,お疲れ様。どうぞ,
3,1,1,5,   クロト,1,04_03,ありがとう。nシースティは全然平気そうだね,
4,1,1,5,シースティ,2,04_04,私は何年もやっているので当然よ、n慣れればクロトにも余裕ができるはず,
5,1,1,5,   クロト,1,04_05,そうかな。n確かに一年で実力は大分伸びたと思うけど,
6,1,1,5,シースティ,2,04_06,ええ。n練習の成果も出ていたし自信を持っていいと思うわ,
7,1,1,5,   クロト,1,04_07,ありがとう！nルミナとルイ兄は大丈夫かな？,
8,1,1,5,シースティ,2,04_08,ルイスもルミナも予選通過してるはずよ,
9,0,0,0,,0,,,ブラックでフェード0.5秒程度
10,0,13,9,   ルイス,2,04_09,予選突破と、最年少出場記録更新おめでとう,
11,0,13,9,   ルミナ,1,04_10,えへ、ありがとう,
12,0,13,9,   ルミナ,1,04_11,私だけ仲間外れになんてなりたくなかったもん。nだからすっごい頑張ったの！,
13,0,13,9,   ルイス,2,04_12,並大抵の努力では出場できるほど簡単なものでもない、nよく頑張ったな……,
14,0,13,9,   ルミナ,1,04_13,あっ！　目をそらさなかった！,
15,0,13,9,   ルイス,2,04_14,さぁ、もう遅い、n完全に陽が沈む前に帰りなさい,
16,0,13,9,   ルミナ,1,04_15,もう遅いもんね～nじゃあ、また今度ね。ばいばい！,
