番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,ボイスID,セリフ,メモ
1,0,13,9,   ルミナ,1,02_01,ねえ、n皆でオセリスの稽古を始めてしばらくたつじゃん？,
2,0,13,9,   ルイス,2,02_02,ああ、それがどうしたんだ？,
3,0,13,9,   ルミナ,1,02_03,それ！nなんで目をそらすの？,
4,0,13,9,   ルイス,2,02_04,目を見るのが得意じゃないんだ,
5,0,13,9,   ルミナ,1,02_05,そんな理由じゃ納得いかないー,
6,0,13,9,   ルイス,2,02_06,もう良いだろ、続けるぞ。時間は有限だ,
7,0,13,9,   ルミナ,1,02_07,じゃあさ、なんで目を見るのは苦手なの？,
8,0,13,9,   ルイス,2,02_08,照れるんだよ……,
9,0,13,9,   ルミナ,1,02_09,ふ、あはは！nそんな理由だったの？,
10,0,13,9,   ルイス,2,02_10,悪いか？nずっとオセリスだけだったんだ仕方ないだろ,
11,0,13,9,   ルミナ,1,02_11,ルイスは私と目を合わせる訓練もしようよ。nずっと合わせていればなれるでしょ？,
12,0,13,9,   ルイス,2,02_12,必要ない、俺は別に……,
13,0,13,9,   ルミナ,1,02_13,それじゃあ、この訓練が終わったらスタートね！,
