番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,ボイスID,セリフ,メモ
1,1,5,1,シースティ,1,03_01,オセリスの試合に出るのでしょう？nさぁ、ルミナとの練習の成果見せてください。,
2,1,5,1,   クロト,2,03_02,おう！　……と言いたいところだけどnルミナ、ルイ兄との練習大丈夫かな？,
3,1,5,1,シースティ,1,03_03,ふふふ。nルミナの心配をするなんて、二人とも随分仲良くなったわね,
4,1,5,1,   クロト,2,03_04,やらなくちゃいけなない事がたくさんあるからな,
5,1,5,1,   クロト,2,03_05,もっと強くなってnシースティやルイ兄にも、早く追いつきたいからな！,
6,1,5,1,シースティ,1,03_06,その気持ちは嬉しいですが、少し怖いですね,
7,1,5,1,   クロト,2,03_07,怖い？nシースティがそんなこと言うなんて珍しいな,
8,1,5,1,シースティ,1,03_08,えぇ、二人とも成長が速いので,
9,1,5,1,シースティ,1,03_09,あなた達を見ていると、n昔の私達を見ているような気持ちになるわ,
10,1,5,1,   クロト,2,03_10,昔の二人か……n確か二人はお互い初めてのライバルだったんだよね？,
11,1,5,1,シースティ,1,03_11,えぇ、私の最初で最高のライバルです。n彼以外には絶対に負けないわ,
12,1,5,1,   クロト,2,03_12,折角だし、僕が勝っちゃうけど、n一回全力でやり合おうよ！,
13,1,5,1,シースティ,1,03_13,いいですよ。それじゃあ、やりましょうか,
