番号,背景,左立ち絵,右立ち絵,キャラ名,喋っているキャラ,ボイスID,セリフ,メモ
1,1,9,5,   ルイス,1,01_01,シースティか、顔色悪そうだがどうした？,
2,1,9,5,シースティ,2,01_02,ルイス……オセリスの練習、n付き合ってくれないかしら,
3,1,9,5,   ルイス,1,01_03,申し訳ない。この後クロトと稽古の約束があってなn……後日にしてくれないか？,
4,1,9,5,シースティ,2,01_04,ですが…… 少し手合わせをお願いしたいです。nそろそろ交流戦の予選もありますし,
5,1,9,5,   ルイス,1,01_05,もうそんな時期か、クロトは出るのだろうか,
6,1,9,5,シースティ,2,01_06,ここ数日、会ってもクロトの話ばかりではないですか？,
7,1,9,5,   ルイス,1,01_07,あぁ悪かった……nただ、何をそんなに怒っているんだ⁉,
8,1,9,5,シースティ,2,01_08,別に怒ってなどいません！,
9,1,9,5,シースティ,2,01_09,ただ、手合わせの頻度が減っていると言いたいのです！,
10,1,9,5,   ルイス,1,01_10,それは謝っているだろうnお前はクロトに成長してほしくないのか？,
11,1,9,5,シースティ,2,01_11,そんなことはありません！nただ、もう少し、私の相手をしてほしいのです,
12,1,9,5,   ルイス,1,01_12,気持ちは分かったが、何故俺なんだ？,
13,1,9,5,シースティ,2,01_13,ルイスが、私の……私の初めてのライバルだからよ……,
14,1,9,5,   ルイス,1,01_14,そうか……分かった。準備はいいか？n一戦やるぞ！,
15,1,9,5,シースティ,2,01_15,ありがとう……ルイス,
16,1,9,5,   ルイス,1,01_16,行くぞ！,
